,company,title,location,EmpBasicInfo,employerStats,JobDescriptionContainer,salary,new_overall_score
266,Michael Page HK,Data Process Analyst (Python; Up to ~22k) - MNC Insurance Co.,Hong Kong,"Company Overview
Size
201 to 500 Employees
Type
Company - Private
Industry
Security Services
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit Michael Page HK Website","3.6
★★★★★
82 %
Recommend to a friend
84 %
Approve of CEO
13 Ratings","Responsibilities:
Extract and cleanse data sets

Manage structured and unstructured data sets

Discuss and identify workflow efficiency opportunities with different departments

Design and develop automation tools according to requirements

Any ad-hoc duties and projects as assigned

Develop automation tools using Python

Training opportunity in a western work environment


Bachelor's degree in Statistics, Computer Science, Actuarial Science or any related degree

0 to 3 years of experience in data, preferably in the financial services industry (bank, insurance)

Fresh graduates with relevant internship experience are welcome to apply

Knowledge in Python/VBA and SQL (Should have at least learnt Python if strong in VBA)

Candidate should be logical, have strong analytic skills and be willing to learn

Excellent communication skills in both Cantonese and English

This is an great opportunity to join a well known insurance company, headquartered in the United States. Founded over 50 years ago and listed on the stock exchange, their revenue in 2020 exceeded USD 16 billion.

The candidate will join a team that focuses on data driven projects, building different automation tools for all internal teams to increase workflow efficiency. Candidates must be know Python/VBA and SQL. This is a great opportunity for those who have learnt Python and is looking for working experience. Fresh graduate with relevant internship experience will be considered. Candidates with relevant experience in financial services is a plus.

Candidates must have strong communication skills in both English and Cantonese.

16 days annual leave

Guaranteed bonus

Medical insurance

Dental insurance

Very stable and friendly team

Training and internal growth opportunities

MNC and western working environment

This is an great opportunity to join a well known US insurance company. The candidate will join a team that focuses on data driven projects, building different automation tools for all internal teams to increase workflow efficiency. Candidates must be know Python/VBA and SQL. This is a great opportunity for those who have learnt Python and is looking for working experience. Fresh graduate with relevant internship experience will be considered.
Show More",HK$178K - HK$298K (Glassdoor Est.),3.6
267,South China Morning Post,Commercial Data Analyst,Hong Kong,"Company Overview
Size
501 to 1000 Employees
Founded
1903
Type
Company - Private
Industry
Publishing
Sector
Media
Revenue
Unknown / Non-Applicable
Visit South China Morning Post Website","3.3
★★★★★
57 %
Recommend to a friend
64 %
Approve of CEO
38 Ratings","Job Responsibilities:
Maintain daily reporting and insights across the digital business and provide recommendations on optimization
Effectively communicate daily trends that impact revenue to the executive team and other internal stakeholders
Work proactively with vendors internally and externally to optimize revenue, including but not limited to price floors, rate cards and profit margin
Collaborate with Ad operations, Ad solutions, product and technology teams to push the boundaries of programmatic Ad and direct Ad efficiencies
Support internal teams by creating dashboards and visualizations to support all business needs
Work with finance on month-end revenue reconciliations


Show More",HK$230K - HK$276K (Glassdoor Est.),3.3
268,Sun Hung Kai Properties,Data Analyst / Assistant Data Analyst - SQL / Database,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1972
Type
Company - Public
Industry
Real Estate
Sector
Real Estate
Revenue
$2 to $5 billion (USD)
Visit Sun Hung Kai Properties Website","3.7
★★★★★
53 %
Recommend to a friend
74 %
Approve of CEO
16 Ratings","Hong Kong (IAP/PRW040/21) Hong Kong
Requirements

Bachelor’s degree in Information Technology, Computer Science, Business Administration, Economics, Statistics or related disciplines

Minimum 5 years’ relevant experience in data analysis with solid experience in database programming preferred

Proficient in SQL, Excel, Powerpoint, Access

Good command of English & Chinese

Detail-minded & self-motivated with good analytical & problem solving skills

Willing to work overtime and on weekends & public holidays, as well as under pressure

Responsibilities

Develop and maintain in-house database, including design, coding, and enhancement

Collect and analyze data and compile timely and insightful reports

Assist in ad hoc projects as assigned

(Candidates with less experience will be considered for Assistant Data Analyst. Fresh graduates will be considered for Research Assistant.)

Application Method

Send full resume, with present and expected salary, available date to our e-mail address at hrm@shkp.com

Notes on completing the Online Application Form

It should take you about 30 minutes to complete the form.
Complete the form in English, except those fields that specifically ask for Chinese.
Fields marked with an * are compulsory.
Provide as much appropriate information as you can in every part of the form so that comprehensive assessment of your application can be made.
Make sure the information provided is accurate and complete before submission

2020-03-05T14:00:00+0800 2020-03-05T18:30:00+0800
Show More",HK$273K (Glassdoor Est.),3.7
269,中國移動,(Senior) Customer Data Analyst,Hong Kong,NA,"4.1
★★★★★
91 %
Recommend to a friend
98 %
Approve of CEO
698 Ratings","CHINA MOBILE HONG KONG COMPANY LIMITED (""CMHK"") is the wholly-owned subsidiary of China Mobile Limited (HKEx: 941) (NYSE: CHL), which ranks 65th on the Fortune Global 500.

Our company strives to offer superior service experience and to become the preferable digital partner for customers. We are preserving an environment with trust, responsibility and caring. At CMHK, we commit to maximizing people’s potential and paving the way toward success for every striver. We are now inviting high caliber professional to join us.
In this position, you will:
Requirement elicitation of AI project and collaborate the business analysis result with the stakeholders
Developing and maintaining strong relationships with key business stakeholders to ensure a good understanding of business drivers and priorities
Show More",NA,4.1
270,Elee Consulting Limited,(急聘) Senior Data Analyst,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Elee Consulting Limited Website","2.0
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Position Objective:
Construct and implement digital business analytics for Project Wise development, accountable for data intelligence and management

Roles and Responsibilities:
Drive and support Project Wise for data analytics capability, closely monitor corporate website traffic and metrics
Support marketing campaigns data tracking and intelligence analysis to meet Project Wise goal for sales enhancement
Construct and implement digital marketing campaigns to track end to end funnel data monitoring for business development and set clear measurable KPIs
Liaise with various stakeholders and content owners for Project Wise delivery and be responsible for implementing strategic change aligned with the company's strategic goals

ANP, VONB, No. of campaigns

Communication Requirements
Marketing departments, compliance, agency
Project team and vendors


Interested parties please submit your FULL RESUME in ""WORD FORMAT"" with current and expected salary via sleung1@eleecl.com
Show More",NA,2.0
271,KOS International Limited,System Analyst (Data Warehouse/BI) ~30-45K,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
$25 to $50 million (USD)
Visit KOS International Limited Website","4.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Job Description
About The Client
Our client is a leading property group in Hong Kong which has developed premium commercial and residential complexes and they are looking for System Analyst to join their BI team. Candidate with less experience will be considered as Senior Analyst Programmer.
Job Description
Responsible for BI development on system design, development and enhancement projects
Liaise with business user on requirement collection and identification
Maintain data warehouse architecture according to the requirements of business functions
Show More",NA,4.0
272,Michael Page HK,Analyst Programmer / System Analyst - Data,Hong Kong,"Company Overview
Size
201 to 500 Employees
Type
Company - Private
Industry
Security Services
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit Michael Page HK Website","3.6
★★★★★
82 %
Recommend to a friend
84 %
Approve of CEO
13 Ratings","Hands on design develop and test for the full data extract, transformation and load cycles

Quantify ETL processing impact on database and performance tuning

Develop standards for data migration activities and plans including migration risk, milestones, quality

Manage assigned risks and monitor potential impact while carrying out data migration activities

Data migration and ETL

Experience with Oracle, HANA, DB2

Bachelor's degree in Computer Science, Information Technology, Computer Engineering or relevant discipline

Experienced in handling with Oracle, HANA, DB2

Experience in Financial industry will be an advantage

Able to handle Data Model Design from staging, cleansing and data reconciliation enablement

My client is a leading IT service provider, currently looking for professions who are experienced in incident and problem management. In this company, you will be supervising the service delivery to resolve various incident, maintenance and problems requests from users. This is a great opportunity for you to further leverage your career in management and leadership.

5 days work

Performance Bonus

Perm position

Medical and life insurance

Data migration and ETL

Experience with Oracle, HANA, DB2

Experience in Financial System
Show More",HK$312K - HK$558K (Glassdoor Est.),3.6
273,MediConCen Limited,Data & Operating Analyst,Kwun Tong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit MediConCen Limited Website","3.4
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Prepare regular and monthly departmental reports.
Assist in preparing graph and report for management.· Develop data analytics to deliver analysis on business case, customer and product, and performance tracking.
Coordinate with IT teams and users to conduct data analysis and data cleansing exercise.
Maintain and update customer information, monitor the submission progress of supporting documents and review status for periodic reviews.
Provide accurate and timely update of system record.
Requirements
Degree holder in Statistics, Mathematics, or related disciplines.· Proficiency in MS Excel.
Strong skills in VBA/Python/SQL would be an advantage.· Good analytical, communication and problem-solving skills with strong business acumen.
Show More",HK$200K - HK$336K (Glassdoor Est.),3.4
274,Swing Consulting,Data Analyst / Engineer,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Swing Consulting Website","3.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Develop and implement end to end data pipeline from collection, analysis to visualisation
Manage data warehouse and apply data analysis for data modelling, solution design and development
Provide support for data issues, maintain best practices for data management and provide support where necessary for the data projects
Collaborate with business product, design, operations, marketing and growth team to strengthen data governance and ensure consistent application
Responsible for data governance and ETL
Work on ad-hoc projects when required
Degree or above in Statistics, Data Science, Computer Science, IT and Mathematics or related disciplines


Show More",HK$185K - HK$420K (Glassdoor Est.),3.0
275,S.F. Express (Hong Kong) Limited,(Senior) Data Analyst,Hong Kong,"Company Overview
Size
5001 to 10000 Employees
Type
Company - Private
Industry
Federal Agencies
Sector
Government
Revenue
Unknown / Non-Applicable
Visit S.F. Express (Hong Kong) Limited Website","2.6
★★★★★
27 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","S.F. Express , well established in China, is continuing our drive as the premier leader in the express delivery industry. We place great value on people: employees, customers, service partners, and the community and we have a strong belief in Corporate Values which brings a strong working relationship.

There are many opportunities for employees to nurture and secure their growth and development in the S.F. Express Group. If you believe that you have what it takes to succeed and grow with us then we want to talk with you. We are always looking for confident high-calibre individuals with passion and high adaptability in diversity. If you meet these criteria, then you can thrive with us.

With SF Express you have the chance to not only develop but also secure your career with us.

Responsibilities:
Work with different departments including Sale / Marketing/ Operation / HR / Finance / Customer Service / etc to make a difference by a data-driven model

Analyze users ‘ need and turn data into insights, prediction, actionable items

Coordinate with development team to define the data pipeline, build the data-warehouse with different system integration

Deliver meaningful insight with recommendation using visualization and user friendly dashboard

Manage the project schedule from the high level system design and analysis, system implementation / enhancement, UAT to system deployment

Prepare and maintain function specification and training documentation


Bachelor degree or above in Computer Science, Data Science, Mathematics, Statistics, Physics or related discipline or other related discipline

3 years plus working experience in Data Science, preferably in eCommerce/Logistics/Courier Industries or consultant companies

Practical experience in understanding, analyzing and verifying user requirement versus business processes to data modeling

LOVE data

Have desire to make a difference to have positive impact to different business units

Good command of written and spoken English and Chinese (including Putonghua)

Less experiences will be considered as Data Analyst

We offer attractive remuneration and fringe benefits to the right candidates. Please apply in WORD format together with a detailed resume, stating current and expected salary to us.

You are welcome to visit our website at http://www.sf-express.com/hk/tc/ for more information about us.

Applicants who are not invited for interview within 3 months may consider their applications unsuccessful. Yet, they may still be considered for other openings within our Group.

(All personal data provided by job applicants are used only for recruitment purpose and will be treated strictly confidential. Unsuccessful applications will be properly disposed within 3 months.)

Full-time,Permanent
Show More",HK$282K - HK$450K (Glassdoor Est.),2.6
276,Eternity Consulting,Analyst Programmer / Data Analyst (1-year contract),Lai Chi Kok,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Eternity Consulting Website","3.0
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Out client is a sizable Quasi-Non-Governmental Organisations. It is looking for qualified candidates to fill the following post: *1-year contract , 5-day Key Responsibilities l Assist in the requirement collection and tender preparation for the new IT projects. l Perform data analyses and extraction, and generate ad-hoc reports using different data visualization, reporting and analytical tools. l Participate in the new project initiatives e.g. new data management projects, business intelligence and data analytics projects, robotic processing automation projects etc. l Provide application support in various IT systems. l Prepare technical, business and user requirement specifications, tender and procurement specification, as well as other project and support documentation. l Perform tasks as assigned by the supervisors. Requirements l A Bachelor’s in Information System / Computer Science / Data Science or related disciplines. l Minimum 5 years' relevant work experience as a System or Business or Data Analyst, preferably in the insurance/finance industry. l At least 2 years of solid experience in project development and implementation, as well as data modelling, using relational database, data warehouse, data lakes, SQL and reporting tools l Preferably in at least one of the databases: Oracle, MSSQL, MariaDB, MySQL, and at least one of the data visualization/reporting/analytical tools: Qliksense, Tableau, PowerBI, IBM Cognos Analytics, SAS etc.
Show More",NA,3.0
277,PwC,Associate / Senior Associate - Data Analyst / Engineer - Actuarial - Hong Kong,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1998
Type
Company - Private
Industry
Accounting
Sector
Accounting & Legal
Revenue
$5 to $10 billion (USD)
Visit PwC Website","3.9
★★★★★
78 %
Recommend to a friend
93 %
Approve of CEO
2543 Ratings","Line of Service
Assurance
Industry/Sector
Not Applicable
Specialism
Actuarial Services
Management Level
Senior Associate
We are seeking to hire high performing analysts with a focus or mix of data engineering and analysis skills to work on complex transformation projects for some of the highest profile Asian insurance clients.









Degrees/Field of Study required: Bachelor Degree
Degrees/Field of Study preferred: Master Degree
English
Not Specified
Yes
No
Show More",NA,3.9
278,South China Morning Post,Senior Data Analyst (Magazines),Hong Kong,"Company Overview
Size
501 to 1000 Employees
Founded
1903
Type
Company - Private
Industry
Publishing
Sector
Media
Revenue
Unknown / Non-Applicable
Visit South China Morning Post Website","3.3
★★★★★
57 %
Recommend to a friend
64 %
Approve of CEO
38 Ratings","Job Responsibilities:
Deliver reporting and analytics to cross functional teams under SCMP Magazines division for all titles including ELLE, Cosmopolitan, Harper's Bazaar, Esquire and ELLE Men, asl well as new business ventures
Work closely with development team to co-build ETL pipelines, also across multiple stakeholders to understand their information/business needs and ensure strategy and developed solutions fit evolving needs
Work closely across multiple teams to understand their information needs and ensure strategy and developed solutions fit evolving needs
Generate automated weekly reporting on various KPIs via Tableau or other visualization tools
Perform ad-hoc analysis on multiple reporting metrics: CPA, LTV, ROI etc.


Show More",NA,3.3
279,Page Personnel,"Data Analyst, Commercial Banking, Top Tier",Hong Kong,"Company Overview
Size
Unknown
Type
Company - Public
Revenue
Unknown / Non-Applicable
Visit Page Personnel Website","4.2
★★★★★
91 %
Recommend to a friend
100 %
Approve of CEO
1 Ratings","Assisting team in preparing various data analysis and management reports

Communicate data findings to business users via dashboards, reports and presentations

Partner with data science teams to ensure data consistency

Drive automation in processes in improving efficiency

Well-Funded Data Analysis Projects

Competitive Package

Bachelor degree in Information Systems, Computer Science or related disciplines

Programming experience in Python, R is preferred

Experience with Azure, AWS, GCP would be advantageous

Proficient in written and spoken Cantonese and English

Well-organized, excellent interpersonal and communication skills

Our client is the top tier commercial bank globally. To cope with technology advancement, they are expanding their IT team to initiate technology innovation across all financial services sectors.

With their recent business innovation, they are currently looking for a Data Analyst to join their well-established IT team.

Dynamic working culture

Well-funded data analysis project

Competitive package

Prime working location
Show More",HK$204K - HK$423K (Glassdoor Est.),4.2
280,Citi,"Infrastructure Technology Analyst (Data Center), Officer",Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1812
Type
Company - Public
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
$10+ billion (USD)
Visit Citi Website","3.9
★★★★★
78 %
Recommend to a friend
92 %
Approve of CEO
481 Ratings","The Infrastructure Intermediate Technology Analyst (Data Center) is an intermediate level role responsible for assisting with LAN / WAN and help desk administration activities, including network maintenance, technical guidance, and security in coordination with the Technology Infrastructure team. The overall objective is to use infrastructure technology knowledge and identified policies to process data, resolve issues and execute administrative tasks.

Responsibilities:
Resolve moderately complex problems/projects through analysis, technical experience, and precedents; provide analysis for more complex issues, escalating as appropriate
Participate in testing activities, including the creation and execution of basic test scripts and evaluating results for possible enhancements
Complete control activities (risk, self-assessment, COB, audit, etc.) and makes recommendations for enhancements



Technology
Infrastructure
Full time
Show More",NA,3.9
281,Aptitude Asia,Data Analyst Lead / Data Analyst - multi-strategies Hedge Fund,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Aptitude Asia Website",NA,"We are hiring a Data Analyst Lead and a Data Analyst for the Data Management team of a leading hedge fund in Hong Kong. The team is to provide a platform for accessing financial data and analytical services which support the trading, research, and operational functions.

Responsibilities

Responsible for data governance, inventory, acquisition, analysis and cleaning

Responsible for delivery and the construction of derived sets of data

Develop and implement tools to provide autonomy around the platforms data life-cycle

Maintain an inventory of the data estate

Implement the control workflow for representing data events

Work with the investment team to ensure their data-related requirements are captured and delivered

Maintain the health and efficiency of the firm's reference and market data stores

Liaise with external vendors confidently and assist in vendor audit and compliance reporting

Requirements

Master of Mathematics, Computer Science, Physics or Engineering. Strong candidateswith Bachelor of Science degrees will also be considered.

At least 3 years exepereince for data analyst role; 8years experiences for the team lead role, of relevant data experience in either a financial institution or data vendor

Bachelor’s degree in Data Science, Computer Science or related disciplines

Strong background in financial markets and associated data sets i.e. market data, reference data

Must have a working understanding of data engineering practices

Strong numerical and analytical skills and problem-solving ability

Skilled in the use and understanding of modern database technologies including relational, document, and temporal column data stores.

Skilled in the use of a programming language such as Python for data engineering

To apply, please send your updated CV by clicking 'Apply Now'.

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent
Show More",HK$180K - HK$414K (Glassdoor Est.),0.0
315,Besteam Consultancy,Data Analyst - 6 months contract,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Besteam Consultancy Website","5.0
★★★★★
100 %
Recommend to a friend
100 %
Approve of CEO
1 Ratings","Degree in Science, IT ore related
2 years of proven experience on business data analysis & reporting
Good in VBA, DAX, SQL
Job Responsibilities:
This candidate will support the project manager to execute the Data Cleansing operation between APEX vs SAP ECC, SAP R3, PMM and others
1. Assist project manager in the planning:
to consolidate the identified key data fields to be aligned
to schedule the prioritization of cleansing
2. Execute the process:
Follow the monthly Data matching process to generate the data discrepancy report
Analysis the result and compare with previous period report
Distribute the reports and communicate the findings and action required to major stakeholders (Buying Offices and Opcos)
Follow up with the data cleansing progress with major stakeholders
Updating some critical data fields in Apex
3. Report progress:
Validate the changes made by stakeholders in life systems.
Generate analysis reports to measure the data cleansing performance
Prepare operational reports for Supply Chain operation
4. Continuous Improvement:
Assist project manager to develop simple excel tools to facilitate the data cleansing process.
Assist project manager to improve the data cleansing process
Communicate and train the major stakeholders improvement in data cleansing tools and process
Show More",NA,5.0
316,Page Personnel,Data Analyst - machine learning,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Public
Revenue
Unknown / Non-Applicable
Visit Page Personnel Website","4.2
★★★★★
91 %
Recommend to a friend
100 %
Approve of CEO
1 Ratings","Label machine learning data

Classify the transcript per the guidelines for respective policy

Maintain and update the project unique keyword library

Identify and resolve the root cause of low quality and provide feedback on product improvements

12 Months contract with potential for renewal

Large scale project

Fluent in Cantonese and English, both written and verbal

Traditional Chinese and English typing

Programming experience in Python, R, or similar analytically-oriented programming languages is a plus

Experience in cloud platform, such as Azure, AWS, GCP, is a plus

A multinational bank.

Great way to improve knowledge and your profile. Attractive package and modern workplace.
Show More",HK$204K - HK$423K (Glassdoor Est.),4.2
317,INSPIRE SOLUTIONS LIMITED,CRM Data Analyst,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit INSPIRE SOLUTIONS LIMITED Website","1.0
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Summary
Industry:
Banking / Finance / Securities / Investments
Job Category / Function:
Hospitality / Hotel (Others)
IT (Product Management / Business Analyst)
Banking / Finance / Securities (Analysis)
Professional Services (Business Analysis / Data Analysis)
Quality Assurance / Control & Testing (Others)
Job Position Level:
Middle
Employment Term:
-
Min. Edu. Level Req:






Show More",HK$185K - HK$420K (Glassdoor Est.),1.0
318,Mega Jobs,"Data Analyst, Core Banking Project",Tsim Sha Tsui,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Mega Jobs Website",NA,"Our Client is an international commercial bank, based in China. It seeks steady and sustainable growth through transformation, innovation and ""scientific development"". The Bank steps up the reform on marketing and management to allocate the right resources to improve its ability of serving the real economy while ensuring risk control. With all the efforts been made, the bank aims to be a modern mid-range bank with adequate working capital, strict internal control, safe operation, excellent services, good efficiency, strong innovation capability and competitiveness in international market. It is now inviting high caliber professionals to join their Hong Kong Banking Company.

Responsibilities:





Show More",HK$190K - HK$396K (Glassdoor Est.),0.0
319,P & A Consultant Limited,Sr. Data Analyst /Data Architect / Data Engineer X2 - (Top Urgent ),Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable",NA,"P & A Consultant Ltd is a leading specialist professional recruitment consultancy, which focuses on placing high caliber professionals into permanent, contract and temporary positions at all management levels. The Hong Kong office specializes in the accounting, banking & financial services, Merchandising, IT & T management consultancy, legal, sales and marketing, human resources, supply chain, logistics & procurement, secretarial & support fields. Having a team of professional recruitment consultants, we provide relevant, professional and reliable recruitment services to both our clients and all job-seekers.
If you are interested in the job, please send your resume to email: [email redacted, apply via Company website]

If any query, please do not hesitate to contact me through 34800757 , many other jobs not listed, pls send your resume to us.
Location : Tsuen Wan( 5 Days ) Salary : 30-38K ( Negotiable)

Responsibilities :
Responsible for the structuring & execution of the company’s in-house data management & business intelligence planning
Gathering & understanding of business & user requirement, then plan out the execution of the business intelligence projects
Structure & execute company’s data-collection tasks, ETL process, and manage data warehouse
Build up front-end Business Intelligence dashboards / platforms for varies in-house units
Provide maintenance and support for existing applications


3-5 years of experience in Data Analyst position
SQL, Tableau, database structure
Python, MS Dynamic (ERP), ETL tools, preferred
Strong sense of responsibility and a good team player;
Good communication skills including spoken, written English and Chinese
*** Personal data will be treated with strict confidential and used for recruitment purpose only *** P & A consultant Ltd will not charge any fees from the above-stated job-seeker, your job apply to our company means your acceptance of our terms and conditions.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time
Show More",HK$216K - HK$456K (Glassdoor Est.),0.0
320,HillmanStep Ltd.,Data Analyst/ Business Analyst,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit HillmanStep Ltd. Website",NA,"Responsibilities:
Manage analyze reports for business performance
Monitor, track and analyze performance results of marketing programs
Provide P & L and budgeting reports for management team
Preparesales performance reports
Assist in advising system automation of data source
Requirements:
Degree in Business Administration / Statistics /IT or related discipline
Minimum 1 years of relevant experience in data analysis; with strong computer skills in Excel/ Visual Basic/ Access Macro
Show More",NA,0.0
321,Chinasoft International Technology Service (Hong Kong) Limited,Senior Technical Lead / System Analyst (Data warehouse / Business Intelligence),Hong Kong,"Company Overview
Size
5001 to 10000 Employees
Type
Company - Private
Industry
IT Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable
Visit Chinasoft International Technology Service (Hong Kong) Limited Website","3.2
★★★★★
52 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Chinasoft International Limited (CSI. 00354.HK), founded in 2000, is an industry leader in globalized software and information technology services, with branches in 28 cities across China including Beijing, Xi’an, Nanjing, Shenzhen, Shanghai, Hong Kong and 18 cities in countries like America, Mexico, Japan, India, Malaysia, Singapore, Romania and so on. The total number of employees exceeds 60 thousand.

Responsibilities:
Manage system development projects and participate in the build and migration of new data warehouse project as well as the transformation to new analytic, machine learning and artificial intelligence tools

Schedule and deliver system solutions in accordance with relevant business requirements

Work closely with software engineers and developers, to ensure the delivered projects/ solutions can meet the budget, time-line, and quality objectives in alignment with business strategy

Provide proactive consultancy to business users in formulating system solutions that can help business to capture revenue growth, improve customer experience and operational efficiency


Bachelor’s degree in Computer Science, Information Technology or related discipline

Minimum 7 years of IT system development experience in data warehouse and business intelligence areas

Cloud exposures is preferred

Business Analytic and Data Management project exposure is a definite advantage

Comprehend Agile project development and management framework

Good analytic, communication and interpersonal skills

Experience in banking / financial industry is an added advantage

Good command of both spoken and written English and Chinese (Cantonese & Mandarin)

Interested parties please click “Apply Now” to apply job.

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent
Show More",HK$435K - HK$720K (Glassdoor Est.),3.2
322,Pinpoint Asia,Data Management Analyst (Governance / Strategy),Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Pinpoint Asia Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Recruiter
Danny Kwan
Our client, a well-known enterprise with strong focus and development on Data Architect across the regional prospective, is looking for a young and talented Data Management Analyst to join their technical team. Great exposure and development opportunity.
Responsibilities:
– Work with the Data Management Team to establish information management standards and data management lifecycle controls.
– Develop and improve data governance standards including records management, data quality, data integrity, metadata, modelling and data provisioning.
– Assist and Engage with System Development Teams to steer application of the Information Architecture standards and frameworks, considering cross border data movement and data residency regulations.
– Evaluate and design data strategy with the team on Data Management and Data structure planning.






Show More",NA,5.0
323,Michael Page HK,Data Analytics & Business Intelligence Analyst,Hong Kong,"Company Overview
Size
201 to 500 Employees
Type
Company - Private
Industry
Security Services
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit Michael Page HK Website","3.6
★★★★★
82 %
Recommend to a friend
84 %
Approve of CEO
13 Ratings","As Data Analytics & Business Intelligence Analyst, you are required to

Perform close communication across business leaders to gather requirements, understand needs and deliver rapid solutions in an analytics way for impactful commercial decisions

Perform ETL/ELT (Alteryx), comprehensive data analysis and visualization to ensure the comprehensiveness of the insight

Leading consumer products enterprise

Data analytics, BI & Insight delivery

Bachelor in Mathematics, Software Engineering, Statistics, Information Management or related disciplines

Minimum 3 years' experience in data analysis

Experience in providing comprehensive data solutions from analytics, visuaization and iteractive delivery

Hands on with MicroStrategy/ Alteryx/ PowerBI

Retail/ FMCG/ Property/ Consumer Products industry background is a plus

Proactive, problem-solving and interpersonal skills with strong passion in performing exploring on new technologies

Good command of both written and spoken English and Chinese

Our client is a data-driven consumer products company with business across APAC regions. To cope with their business growth, they are currently looking for a Data Analytics & Business Intelligence Analyst to provide analytical insights for the business leaders (C-levels) for impactful commercial decisions. The candidate is required to be techically hands on with ETL, analytics and visualization to provide comprehensive data solutions.

Our client offer attractive compensation package with sustainable career development opportunities to the canddiate.

Large consumer products company

Data Analytics & Business Intelligence

Maintain close communication with different BU, understand their requirement and provide analytical insights for impactful commercial decisions

Microstrategy/ Alteryx/ PowerBI

Exposure across APAC
Show More",HK$205K - HK$421K (Glassdoor Est.),3.6
